,name,price,Гарантия ,Диагональ дисплея ,Разрешение дисплея ,Частота обновления ,Тип матрицы экрана ,Процессор ,Количество ядер процессора ,Серия процессора. ,Частота процессора ,Частота процессора (режим Turbo) ,Кэш-память ,Тип видеокарты ,Видеокарта ,Тип оперативной памяти ,Оперативная память ,Тип носителя данных ,Объем твердотельного накопителя SSD ,Типоразмер ,Интерфейс SSD ,Wi-Fi ,BlueTooth ,USB 3.0 ,Thunderbolt ,HDMI ,Аудио ,Разъемы ,Установленная ОС ,Сертификаты (звук) ,Встроенные динамики ,Замок Kensington ,Веб-камера ,Блок питания ,Цвет ,Линейка ,Вес ,Бренд,Покрытие экрана ,Чипсет ,Частота ,LAN ,USB 3.2 ,USB-Type-C / Thunderbolt (совмещенные) ,Звуковая система ,Встроенный микрофон ,Подсветка клавиатуры ,Прочее ,Привод ,USB-Type-C ,Макс. поддерживаемая память ,Сканер отпечатка пальца ,Аккумулятор ,Кол-во слотов памяти ,Язык раскладки клавиатуры ,Серия ,USB 2.0 ,Видеовыход ,Емкость аккумулятора ,Считыватель карт памяти ,Скорость вращения ,USB 3.1 ,Сенсорный экран ,Объем видеопамяти ,Время автономной работы ,Покрытие крышки дисплея ,Игровой ,Объем жесткого диска ,Стилус ,Размеры ,Емкость встроенной памяти eMMC ,Мобильная сеть ,Категория ,Express Card ,Компоновка памяти ,Внешний монитор ,Тип Wi-Fi ,ПО ,Материал и цвет palmrest ,Модель 
491,Ноутбук HP ProBook 440 G9 6A1W7EA,101044 руб.,1 год ,14 дюйм ,1920x1080 FHD ,,TFT IPS ,Intel Core i3 ,6 ,1215U ,1.2 ГГц ,4.4 ГГц ,,Встроенная ,Intel UHD Graphics ,DDR4 ,8 Gb ,SSD ,256 ГБ ,,,Есть ,Есть ,3 ,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,Windows 11 Pro ,,,,Есть ,,Серебристый ,,1380 г ,HP ,Матовое ,,3200 MHz ,Gigabit Ethernet 10/100/1000 ,,,стереодинамики ,,,,,1 ,,,3-Cell Li-Ion ,2 ,Русский ,,,,,,,,,,,,,,,,,,,,,,,,,
492,Ноутбук Lenovo Legion 5 15ARH7H 82RD006NRK,221790 руб.,1 год ,15.6 дюйм ,2560x1440 2k WQHD ,165 Гц ,TFT IPS ,AMD Ryzen 7 ,8 ,6800H ,3.2 ГГц ,4.7 ГГц ,16 Mb ,Дискретная ,NVIDIA GeForce RTX 3070 Ti ,DDR5 ,16 Gb ,SSD ,1024 ГБ ,M.2 ,PCI-E ,Есть ,Есть ,,,,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,DOS / без ОС ,,,,Есть ,,Storm Grey ,,2400 г ,Lenovo ,Антибликовое ,,4800 MHz ,Gigabit Ethernet 10/100/1000 ,3 ,,,,Есть ,,Нет ,3 ,32 Gb ,,,2 ,,,,,,,,,,6 Gb ,,,,,,,,,,,,,,,,
493,Ноутбук Acer Extensa EX215-22-R842 NX.EG9ER.00C,44000 руб.,1 год ,15.6 дюйм ,1920x1080 FHD ,,,AMD Ryzen 5 ,4 ,3500U ,2.1 ГГц ,,,Встроенная ,AMD Radeon Vega 8 ,DDR4 ,8 Gb ,SSD ,256 ГБ ,,,Есть ,Есть ,1 ,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,no OS (без операционной системы) ,,,,Есть ,,Черный ,,1900 г ,Acer ,,,,,,,,,,,Привода нет ,,,,,,,,2 ,,,SD ,,,,,,,,,,,,,,,,,,,,
494,Ноутбук Acer Swift 3 SF314-511 (NX.ABLER.014),59500 руб.,1 год ,14 дюйм ,1920x1080 FHD ,60 Гц ,TFT IPS ,Intel Core i5 ,4 ,,2.4 ГГц ,4.2 ГГц ,,Встроенная ,Intel Iris Xe Graphics ,,8 Gb ,SSD ,256 ГБ ,,,Есть ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,Windows 10 Home 64-bit ,,,,Есть ,,Серебристый ,,1200 г ,Acer ,Матовое ,,,,2 ,,,Встроенный аналоговый микрофон ,,,,1 ,,,Li-Ion ,,,,,,,,,,,,до 16 ч ,,,,,,,,,,,,,,,
495,Ноутбук Acer Swift X SFX14-51G NX.K6KER.005,89000 руб.,,14 дюйм ,2240x1400 ,60 Гц ,TFT IPS ,Intel Core i5 ,12 ,1240P ,3.3 ГГц ,4.4 ГГц ,,Дискретная ,NVIDIA GeForce RTX 3050 Max-Q ,LPDDR5 ,16 Gb ,SSD ,512 ГБ ,,,Есть ,Есть ,,2 ,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,Windows 11 Home ,,,,Есть ,,Серый ,,2200 г ,Acer ,Матовое ,,5200 MHz ,,2 ,,стереодинамики ,Встроенный аналоговый микрофон ,Есть ,Ш х Г х В   323 х 212 х 18 ,Нет ,,,,Li-Ion ,,,,,,,,,,,4 Gb ,8 ч ,,Да ,,,,,,,,,,,,,
496,Ноутбук Lenovo ThinkPad X1 Carbon Gen 10 21CB004HRT,258180 руб.,,14 дюйм ,1920х1200 ,,TFT IPS ,Intel Core i7 ,12 ,1255U ,1.7 ГГц ,4.7 ГГц ,18 Mb ,Встроенная ,Intel Iris Xe Graphics ,LPDDR5 ,16 Gb ,SSD ,512 ГБ ,M.2 ,PCI-E ,Есть ,Есть ,,2 ,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,Windows 11 Pro ,Dolby Atmos ,,,Есть ,65 Вт ,Черный ,,1120 г ,Lenovo ,Антибликовое ,Intel SoC Platform ,5200 MHz ,,2 ,,стереодинамики ,Встроенный массив микрофонов ,Есть ,,Нет ,,,Есть ,Li-Ion ,4 ,Русский ,,,,,,,,,,,,,,,,,,,,,,,,,
497,Ноутбук HP 250 G9 6S7B3EA,49295 руб.,,15.6 дюйм ,1920x1080 FHD ,60 Гц ,TFT IPS ,Intel Core i3 ,6 ,1215U ,1.2 ГГц ,4.4 ГГц ,,Встроенная ,Intel UHD Graphics ,DDR4 ,8 Gb ,SSD ,512 ГБ ,,,Есть ,Есть ,2 ,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,DOS / без ОС ,,,,Есть ,,Темно-серебристый ,,1740 г ,HP ,Матовое ,,3200 MHz ,Gigabit Ethernet 10/100/1000 ,,,стереодинамики ,,,358 x 20 x 242 мм ,Нет ,,8 Gb ,,3-Cell Li-Ion ,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,Ноутбук ASUS VivoBook 14 X415EA-EB1313W 90NB0TT2-M00DT0,40000 руб.,,14 дюйм ,1920x1080 FHD ,,TFT IPS ,Intel Pentium ,2 ,7505 ,2 ГГц ,,4 Mb ,Встроенная ,,DDR4 ,4 Gb ,SSD ,256 ГБ ,,,Есть ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,Windows 11 Home ,,,,Есть ,,Черный ,,,ASUS ,,,3200 MHz ,,1 ,,SonicMaster ,,,,,1 ,,,,,,,2 ,,,,,,,,,,,,,,,,,,,,,,,
499,Ноутбук HP EliteBook 850 G8 3C6D5ES,90295 руб.,1 год ,15.6 дюйм ,1920x1080 FHD ,,TFT IPS ,Intel Core i5 ,4 ,1135G7 ,,4.2 ГГц ,12 Mb ,Встроенная ,Intel Iris Xe Graphics ,DDR4 ,8 Gb ,SSD ,256 ГБ ,,PCI-E ,Есть ,Есть ,,2 ,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,DOS / без ОС ,,,,Есть ,,Silver (Серебристый) ,,1800 г ,HP ,Антибликовое ,,3200 MHz ,Gigabit Ethernet 10/100/1000 ,,,Встроенные динамики ,,Есть ,,Нет ,,,Есть ,3-Cell Li-Ion ,2 ,,,,,,,,2 ,,,,,,,,,,,,,,,,,,
500,Ноутбук HP 250 G8 2X7V1EA,78055 руб.,1 год ,15.6 дюйм ,1920x1080 FHD ,60 Гц ,TFT IPS ,Intel Core i5 ,4 ,1135G7 ,2.4 ГГц ,4.2 ГГц ,,Встроенная ,Intel Iris Xe Graphics ,DDR4 ,8 Gb ,SSD ,256 ГБ ,,,Есть ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",RJ-45: есть ,Windows 10 Pro 64-bit ,,,,Есть ,,Темно-серый ,,1740 г ,HP ,Антибликовое ,,2666 MHz ,Gigabit Ethernet 10/100/1000 ,,,стереодинамики ,,,,Нет ,1 ,,,3-Cell Li-Ion ,,,,,,,,,2 ,,,,,,,,,,,,,,,,,,
501,Ноутбук Lenovo ThinkPad X1 Nano Gen 2 21E8001MRT,278055 руб.,,13 дюйм ,2160x1350 ,,TFT IPS ,Intel Core i7 ,12 ,1260P ,2.1 ГГц ,,,Встроенная ,Intel Iris Xe Graphics ,LPDDR5 ,16 Gb ,SSD ,512 ГБ ,,,Есть ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,Windows 11 Pro ,,,,Есть ,,,Lenovo ,,Lenovo ,Антибликовое ,,,Gigabit Ethernet 10/100/1000 ,1 ,,,,,,Нет ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Ноутбук Huawei MateBook D 15 BOD-WDI9 53013PLV,44900 руб.,,15.6 дюйм ,1920x1080 FHD ,60 Гц ,TFT IPS ,Intel Core i3 ,2 ,1115G4 ,3 ГГц ,4.1 ГГц ,,Встроенная ,Intel Iris Xe Graphics ,DDR4 ,8 Gb ,SSD ,256 ГБ ,,,Есть ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,Windows 11 Home ,,,,Есть ,,Space Grey ,,1530 г ,Huawei ,Матовое ,,,,1 ,,стереодинамики ,Встроенный аналоговый микрофон ,,Ш х Г х В  357.8 х 229.9 х 16.9 ,Нет ,1 ,,Есть ,Li-Pol ,,,,2 ,,,,,,,,,,,,,,,,,,,,,,,
503,Ноутбук Dell Latitude 5430 210-BDGP-Latitude 5430(i5/400nits/Linux),104120 руб.,2 года ,14 дюйм ,1920x1080 FHD ,,TFT IPS ,Intel Core i5 ,,1235U ,1.3 ГГц ,,,Встроенная ,Intel Iris Xe Graphics ,DDR4 ,8 Gb ,SSD ,256 ГБ ,,,Есть ,Есть ,4 ,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,Linux ,,2 x 2 Вт ,,Есть ,,Серый ,,,Dell ,,,,Gigabit Ethernet 10/100/1000 ,,,,Встроенный аналоговый микрофон ,,,Нет ,,,,,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,
504,Ноутбук ASUS E410MA-EK1281W 90NB0Q11-M41630,28000 руб.,,14 дюйм ,1920x1080 FHD ,,,Intel Celeron ,2 ,N4020 ,1.1 ГГц ,2.8 ГГц ,,Встроенная ,Intel UHD Graphics ,DDR4 ,4 Gb ,eMMC ,,,,Есть ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,Windows 11 Home ,,,,Есть ,,Синий ,,1300 г ,ASUS ,,,,,2 ,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,128 Gb ,,,,,,,,,
505,Ноутбук F+ FLTP-5R FLTP-5R7-16512-W,57200 руб.,1 год ,15.6 дюйм ,1920x1080 FHD ,,TFT IPS ,AMD Ryzen 7 ,8 ,5825U ,2 ГГц ,4.5 ГГц ,16 Mb ,Встроенная ,AMD Radeon Vega Graphics ,RAM ,16 Gb ,SSD ,512 ГБ ,M.2 ,PCI-E ,Есть ,Есть ,2 ,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,Windows 11 Home ,,,,,,,,1760 г ,F+ ,,,,Gigabit Ethernet 10/100/1000 ,2 ,,стереодинамики ,2 встроенных цифровых микрофона ,Есть ,,,,32 Gb ,Есть ,3-Cell Li-Pol ,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,Ноутбук Lenovo Yoga 6 13ALC7 82UD004URU,123452 руб.,1 год ,13.3 дюйм ,1920х1200 ,,TFT IPS ,AMD Ryzen 7 ,8 ,5700U ,1.8 ГГц ,4.3 ГГц ,8 Mb ,Встроенная ,AMD Radeon Vega 8 ,LPDDR4X ,16 Gb ,SSD ,1024 ГБ ,M.2 ,PCI-E ,Есть ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,Windows 11 Home ,,2 x 2 Вт ,,Есть ,,Бирюзовый ,,1370 г ,Lenovo ,Глянцевое ,AMD SoC Platform ,4266 MHz ,,2 ,,стереодинамики ,Встроенный массив микрофонов ,Есть ,"Ш х Г х В  30,4 х 21,8 х 17 ",Нет ,1 ,,,,,Русский ,,,,,microSD ,,,Multi-touch ,,,,,,,,,,,,,,,,,
507,Ноутбук HP 450 G8 4B2V6EA,103260 руб.,1 год ,15.6 дюйм ,1920x1080 FHD ,,TFT IPS ,Intel Core i5 ,4 ,1135G7 ,2.4 ГГц ,4.2 ГГц ,12 Mb ,Встроенная ,Intel Iris Graphics ,DDR4 ,8 Gb ,SSD ,256 ГБ ,,,Есть ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,Windows 10 Pro 64-bit ,,,,Есть ,,Серебристый ,,1740 г ,HP ,,,,Gigabit Ethernet 10/100/1000 ,,,,,,"Размеры (ШхГхВ) 35,94 х 23,39 х 1,99 см ",Нет ,1 ,,,,,,ProBook ,,,,,,3 ,,,,,,,,,,,,,,,,,,
508,Ноутбук HIPER WORKBOOK N1567RH U9WV2LKF,42090 руб.,1 год ,15.6 дюйм ,1920x1080 FHD ,60 Гц ,TFT TN ,Intel Core i5 ,4 ,10210U ,1.6 ГГц ,4.2 ГГц ,6 Mb ,Встроенная ,Intel UHD Graphics ,DDR4 ,8 Gb ,SSD ,256 ГБ ,,,Есть ,Есть ,2 ,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,Windows 10 Pro 64-bit ,,2 x 1.0 Вт ,,Есть ,,Серебристый ,,1600 г ,HIPER ,Матовое ,,2666 MHz ,,,,стереодинамики ,,Есть ,,,1 ,32 Gb ,,Li-Ion ,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,Ноутбук HP ProBook 450 G8 32M57EA,114318 руб.,1 год ,15.6 дюйм ,1920x1080 FHD ,,TFT IPS ,Intel Core i7 ,4 ,1165G7 ,2.8 ГГц ,4.7 ГГц ,12 Mb ,Встроенная ,Intel Iris Xe Graphics ,DDR4 ,16 Gb ,SSD ,512 ГБ ,,,Есть ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,DOS / без ОС ,,,,Есть ,45 Вт ,Серебристый ,,1800 г ,HP ,,,3200 MHz ,Gigabit Ethernet 10/100/1000 ,,,,,Есть ,"Размеры (Ш x Г x В), см	35,94 x 23,39 x 1,99 ",,1 ,,Есть ,3-Cell Li-Ion ,2 ,,,,,,"microSDHC, microSDXC ",,3 ,,,,,,,,,,,,,,,,,,
510,"Ноутбук HP HP15s-fq2001ny 15.6"" 488H9EA",51633 руб.,1 год ,15.6 дюйм ,1920x1080 FHD ,60 Гц ,TFT IPS ,Intel Core i5 ,4 ,1135G7 ,2.4 ГГц ,4.2 ГГц ,,,Intel UHD Graphics ,DDR4 ,8 Gb ,SSD ,512 ГБ ,,,Есть ,Есть ,2 ,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,,,,,Есть ,,Черный ,,1690 г ,HP ,Матовое ,,3200 MHz ,,,,,,,,,1 ,,,3-Cell Li-Ion ,2 ,,,,DisplayPort ,4100 mAh ,,,,,,до 9.5 ч ,,,,,,,,,,,,,Free DOS ,,
511,Ноутбук ASUS Ноутбук ASUS VivoBook Series K513EA-L12004 90NB0SG1-M30270,55800 руб.,,15.6 дюйм ,1920x1080 FHD ,60 Гц ,OLED ,Intel Core i5 ,4 ,1135G7 ,2.8 ГГц ,,,Встроенная ,Intel Iris Xe Graphics ,DDR4 ,8 Gb ,SSD ,512 ГБ ,,,Есть ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,no OS (без операционной системы) ,,,,0.3 Мп ,,Черный ,,1800 г ,ASUS ,Глянцевое ,,,,1 ,,стереодинамики ,,,,Нет ,1 ,,,Li-Ion ,,,,2 ,,,,,,,,,,,,,,,,,,,,,,,
512,"Ноутбук Lenovo ThinkBook 14 G4 ABA 14"" 21DK0006RU",101490 руб.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lenovo ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,Ноутбук ASUS P1512CEA-BQ0236 90NX05E1-M008X0,54339 руб.,1 год ,15.6 дюйм ,1920x1080 FHD ,,TFT IPS ,Intel Core i3 ,,1115G4 ,3 ГГц ,4.1 ГГц ,,Встроенная ,Intel UHD Graphics ,DDR4 ,8 Gb ,SSD ,,,,,,,,,,,DOS / без ОС ,,,,,,Темно-серый ,,,ASUS ,,,,,,,,,,,,,,,,,,"1,8 ",,,,,,,,,,Пластик ,,256 ГБ ,,,,,,,,,,,,
514,Ноутбук Dell Latitude 5430 7DN-B2B-CCDEL1154D501,70123 руб.,1 год ,14 дюйм ,1920x1080 FHD ,60 Гц ,WVA ,Intel Core i5 ,10 ,1235U ,1.3 ГГц ,4.4 ГГц ,12 Mb ,Встроенная ,Intel Iris Xe Graphics ,DDR4 ,8 Gb ,SSD ,256 ГБ ,M.2 ,PCI-E ,Есть ,Есть ,,,,,Ш х Г х В  321 х 212 х 19 ,Ubuntu ,,,,Есть ,,Серый ,,1360 г ,Dell ,Матовое ,,3200 MHz ,Gigabit Ethernet 10/100/1000 ,,,,,,,Нет ,,,,,,Английский ,,,,,,,,,,,,,,,,,,,,,,,,,
515,Ноутбук Lenovo ThinkPad X1 Carbon Gen 10 21CCS9Q401/M,245990 руб.,,14 дюйм ,1920х1200 ,,TFT IPS ,Intel Core i7 ,10 ,1265U ,1.8 ГГц ,4.8 ГГц ,,Встроенная ,Intel Iris Xe Graphics ,LPDDR5 ,16 Gb ,SSD ,512 ГБ ,M.2 ,PCI-E ,Есть ,Есть ,2 ,2 ,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,Windows 11 Pro ,,,,Есть ,,Черный ,,1120 г ,Lenovo ,Матовое ,,5200 MHz ,,,,стереодинамики ,Встроенный аналоговый микрофон ,Есть ,,Нет ,,,Есть ,Li-Pol ,,Русский ,,,,,,,,,,,,,,,,,,,,,,,,,
516,Ноутбук Dell Latitude 5430 N211L5430MLK14EMEA_VP_UBU,89579 руб.,,14 дюйм ,1920x1080 FHD ,60 Гц ,WVA ,Intel Core i5 ,10 ,1235U ,1.3 ГГц ,4.4 ГГц ,12 Mb ,Встроенная ,Intel Iris Xe Graphics ,DDR4 ,8 Gb ,SSD ,512 ГБ ,M.2 ,PCI-E ,Есть ,Есть ,,,,,,Ubuntu ,,,,Есть ,,Серый ,,1360 г ,Dell ,Матовое ,,3200 MHz ,,,,,,,"Ш х Г х В  32,1 х 21,2 х 21 ",Нет ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,Ноутбук Lenovo IdeaPad 3 15IML05 81WB00U3RK,43120 руб.,1 год ,15.6 дюйм ,1920x1080 FHD ,,TFT IPS ,Intel Core i3 ,2 ,10110U ,2.1 ГГц ,4.1 ГГц ,4 Mb ,Встроенная ,Intel UHD Graphics ,DDR4 ,8 Gb ,SSD ,512 ГБ ,,,Есть ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ","1 x USB 2.0, 2 x USB 3.2, Mini jack, ",Windows 11 Home ,,,,Есть ,,Серый ,,1700 г ,Lenovo ,Матовое ,,2666 MHz ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,Ноутбук Lenovo Lenovo ThinkPad  X1 Carbon 10 21CB004GRT,235674 руб.,,14 дюйм ,1920х1200 ,,TFT IPS ,Intel Core i5 ,10 ,1235U ,1.3 ГГц ,,,Встроенная ,Intel Iris Xe Graphics ,LPDDR5 ,16 Gb ,SSD ,512 ГБ ,M.2 ,PCI-E ,Есть ,Есть ,,,Есть ,,,Windows 11 Pro ,,,,Есть ,,,,,Lenovo ,Антибликовое ,,5200 MHz ,,2 ,,,,,,Нет ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,Ноутбук ASUS R528EA-BQ2903W 90NB0SG4-M00AX0,48812 руб.,1 год ,15.6 дюйм ,1920x1080 FHD ,60 Гц ,TFT IPS ,Intel Core i3 ,2 ,1115G4 ,3 ГГц ,,6 Mb ,,Intel UHD Graphics ,DDR4 ,8 Gb ,SSD ,512 ГБ ,,,Есть ,Есть ,1 ,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,Windows 11 Home ,,,,Есть ,,Черный ,,1800 г ,ASUS ,Матовое ,,3200 MHz ,,,,,,Есть ,Габаритные размеры (В*Ш*Г) 1.99*35.9*23.5 cм ,,1 ,,,,1 ,,,2 ,,,,,,,,,,,,,,,,,,,,,,,
520,Ноутбук Lenovo Lenovo IdeaPad 3 Gen 7 82RN00AFRK,55135 руб.,,15.6 дюйм ,1920x1080 FHD ,165 Гц ,TFT TN ,AMD Ryzen 3 ,4 ,5425U ,2.7 ГГц ,,,Встроенная ,AMD Radeon Graphics ,DDR4 ,8 Gb ,SSD ,256 ГБ ,M.2 ,PCI-E ,Есть ,Есть ,,,,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,DOS / без ОС ,,2 x 2 Вт ,,Есть ,,Abyss Blue ,,,Lenovo ,Антибликовое ,,3200 MHz ,Gigabit Ethernet 10/100/1000 ,,,,,,,Нет ,1 ,,,,,,,1 ,,,,,2 ,,6 Gb ,,,,,,,,,,,,,,,,
521,"Ноутбук Machenike S16 16"" S16-i512450H3050Ti4GF165HGMS0R",71500 руб.,1 год ,16 дюйм ,1920x1080 FHD ,165 Гц ,TFT IPS ,Intel Core i5 ,8 ,12450H ,2 ГГц ,,12 Mb ,Дискретная ,NVIDIA GeForce RTX 3050 Ti ,DDR4 ,8 Gb ,SSD ,512 ГБ ,,,Есть ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,no OS (без операционной системы) ,,,,Есть ,,Черный ,,2150 г ,Machenike ,Матовое ,,3200 MHz ,Gigabit Ethernet 10/100/1000 ,1 ,,,,Есть ,,,2 ,,,,,Русский ,,1 ,Mini DisplayPort ,,microSD ,,,,4 Gb ,,,,,,,,,,,,,,,,
522,Ноутбук Dell G15 DI5520I7165123060U,118365 руб.,1 год ,15.6 дюйм ,1920x1080 FHD ,120 Гц ,WVA ,Intel Core i7 ,14 ,12700H ,2.3 ГГц ,,24 Mb ,Дискретная ,NVIDIA GeForce RTX 3060 ,DDR5 ,16 Gb ,SSD ,512 ГБ ,M.2 ,PCI-E ,Есть ,Есть ,,1 ,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,DOS / без ОС ,,,,Есть ,,Серый ,,2670 г ,Dell ,Антибликовое ,,4800 MHz ,Gigabit Ethernet 10/100/1000 ,,,,,Есть ,,Нет ,,32 Gb ,,6-Cell Li-Ion ,2 ,,,,,,,,3 ,,6 Gb ,,,,,,,,,,,,,,,,
523,Ноутбук HP Probook 455 G8 4B304EA,84134 руб.,,15.6 дюйм ,1920x1980 ,,TFT IPS ,AMD Ryzen 5 ,,5600U ,2.3 ГГц ,4.2 ГГц ,,Встроенная ,AMD Radeon HD Graphics ,DDR4 ,8 Gb ,SSD ,256 ГБ ,,PCI-E ,Есть ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,Windows 10 Pro 64-bit ,,,,Есть ,,Серебристый ,,1740 г ,HP ,,объединен с процессором ,3200 MHz ,Gigabit Ethernet 10/100/1000 ,,,,,,,Нет ,1 ,32 Gb ,Есть ,3-Cell Li-Ion ,2 ,Английский ,,,,,,,3 ,,,,,,,,,,,,,,,,,,
524,Ноутбук HIPER EXPERTBOOK H1600O3165DM,57500 руб.,1 год ,16.1 дюйм ,1920x1080 FHD ,60 Гц ,TFT IPS ,Intel Core i3 ,6 ,1215U ,1.2 ГГц ,4.4 ГГц ,10 Mb ,Встроенная ,Intel UHD Graphics ,DDR4 SODIMM ,16 Gb ,SSD ,512 ГБ ,M.2 ,SATA ,Есть ,Есть ,3 ,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,DOS / без ОС ,,,Есть ,Есть ,,Черный ,,1860 г ,HIPER ,Матовое ,,2666 MHz ,Gigabit Ethernet 10/100/1000 ,,,Встроенные динамики 2х2 Вт ,,Есть ,"Ширина, cм: 37.06
Высота, cм: 1.8
Глубина, cм: 24.79 ",,1 ,32 Gb ,,Li-Ion ,1 ,,,,DisplayPort ,,SD card (XC) ,,,,,,,,,,,,,,,,,,,,
525,Ноутбук ASUS B1400CBA-EB0768X 90NX0571-M00ZF0,132000 руб.,1 год ,14 дюйм ,1920x1080 FHD ,144 Гц ,TFT IPS ,Intel Core i7 ,10 ,1255U ,1.7 ГГц ,4.7 ГГц ,,Встроенная ,,DDR4 ,16 Gb ,SSD ,512 ГБ ,M.2 ,PCI-E ,Есть ,Есть ,,,,,,Windows 11 Pro ,,,,Есть ,,Star Black ,,1450 г ,ASUS ,Матовое ,,,Gigabit Ethernet 10/100/1000 ,,,,,Есть ,,Нет ,,,Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,Ноутбук Maibenben X525 X525FSGALBRE0,79400 руб.,1 год ,15.6 дюйм ,1920x1080 FHD ,144 Гц ,TFT IPS ,Intel Core i5 ,8 ,12450H ,2 ГГц ,,12 Mb ,Дискретная ,NVIDIA GeForce RTX 3050 ,DDR4 ,16 Gb ,SSD ,1000 ГБ ,,,Есть ,Есть ,,,Есть ,"комбинированный выход (наушники) / вход (микрофон) (3,5 мм) ",,Linux ,,,Есть ,Есть ,,Черный ,,2000 г ,Maibenben ,Матовое ,,3200 MHz ,Gigabit Ethernet 10/100/1000 ,,,,,,"Размеры (Ш×Г×В) 35,9 × 24,4 × 2,7 см ",,1 ,,,Li-Pol ,2 ,,,,,,,,3 ,,4 Gb ,,,,,,,,,,,,,,,,
527,Ноутбук Acer Nitro 5 AN515-58-57ZF NH.QFJEM.003,121959 руб.,1 год ,15.6 дюйм ,1920x1080 FHD ,144 Гц ,TFT IPS ,Intel Core i5 ,12 ,12500H ,3.3 ГГц ,4.5 ГГц ,18 Mb ,Дискретная ,NVIDIA GeForce RTX 3050 ,DDR4 ,8 Gb ,SSD ,512 ГБ ,M.2 ,PCI-E ,Есть ,Есть ,,,Есть ,,,DOS / без ОС ,,,Есть ,Есть ,,Черный ,,2300 г ,Acer ,Матовое ,,,Gigabit Ethernet 10/100/1000 ,3 ,,стереодинамики ,Встроенный аналоговый микрофон ,,"Ш х Г х В  36,0 х 27,1 х 27 ",Нет ,1 ,,,,,Английский ,,,,,,,,,4 Gb ,,,,,,,,,,,,,,,,
528,Ноутбук Acer Swift 3 SF314-510G-77XD NX.A10ER.006,115000 руб.,1 год ,14 дюйм ,1920x1080 FHD ,,TFT IPS ,Intel Core i7 ,4 ,1165G7 ,2.8 ГГц ,4.7 ГГц ,12 Mb ,Дискретная ,Intel Iris Xe Max ,DDR4 ,16 Gb ,SSD ,2048 ГБ ,,,Есть ,Есть ,2 ,,Есть ,,,Windows 10 Home 64-bit ,,,,Есть ,,Золотистый ,,1370 г ,Acer ,,,,,,,,,,,Привода нет ,1 ,,,,,,,,,,,,,,2 Gb ,,,,,,,,,,,,,,,,
