name,price,screen_size,display_resolution,cpu,proccessor_cores,set_of_cpu,cpu_frequency,gpu,ram,memory,operating_system,weight,brand
Apple MacBook Air A2681 MLXX3LL/A,170000,13.6,2560x1664 ,Apple M2 ,8.0,1135G7 ,2.4,Intel Iris Xe Graphics ,8.0,SSD ,MAC OS ,1705.2024914285716,Apple 
HP VICTUS 16-d1059ci 6K317EA,95627,16.1,1920x1080 FHD ,Intel Core i5 ,12.0,12500H ,1.8,NVIDIA GeForce RTX 3050 Ti ,16.0,SSD ,DOS / без ОС ,1705.2024914285716,HP 
"HP HP15s-fq2000ny 15.6"" 488H8EA",62538,15.6,1920x1080 FHD ,Intel Core i7 ,4.0,1165G7 ,2.8,Intel UHD Graphics ,8.0,SSD ,DOS / без ОС ,1650.0,HP 
Acer Nitro 5 AN515-46-R212 NH.QGZEP.008,167730,15.6,1920x1080 FHD ,AMD Ryzen 7 ,8.0,6800H ,3.2,NVIDIA GeForce RTX 3060 ,16.0,SSD ,DOS / без ОС ,2400.0,Acer 
Lenovo ThinkPad T14 G3 21AHA001CD,131480,14.0,2240x1400 ,Intel Core i5 ,12.0,1240P ,1.7,Intel Iris Xe Graphics ,16.0,SSD ,Windows 11 Pro ,1.7,Lenovo 
HIPER WORKBOOK 1564 KC29A2B4,36500,15.6,1920x1080 FHD ,Intel Core i3 ,2.0,10110U ,2.1,Intel UHD Graphics ,8.0,SSD ,Windows 10 Pro 64-bit ,1600.0,HIPER 
HP EliteBook 830 G8 553W7EC,158102,13.3,1920x1080 FHD ,Intel Core i5 ,4.0,1145G7 ,2.4,Intel Iris Xe Graphics ,16.0,SSD ,Windows 10 Pro 64-bit ,1300.0,HP 
ASUS VivoBook 15 M6500QC-HN058 90NB0YN1-M004T0,82319,15.6,1920x1080 FHD ,AMD Ryzen 5 ,6.0,5600H ,3.3,NVIDIA GeForce RTX 3050 ,16.0,SSD ,DOS / без ОС ,1900.0,ASUS 
HP Probook 450 G9 6M417PC,84370,15.6,1920x1080 FHD ,Intel Core i5 ,10.0,1235U ,3.3,Intel Iris Xe Graphics ,8.0,SSD ,Windows 11 Home ,1740.0,HP 
MSI Bravo 15 B5DD-414XRU 9S7-158K12-414,71000,15.6,1920x1080 FHD / 1920x1080 FHD ,AMD Ryzen 5 / AMD Ryzen 5 ,6.0,5600H / 5600H ,3.3,AMD Radeon RX5500M / AMD Radeon RX5500M ,16.0,SSD / SSD ,no OS (без операционной системы) / no OS (без операционной системы) ,1705.2024914285716,MSI 
HIPER EXPERTBOOK MTL1601 MTL1601B1235UDS,68200,16.1,1920x1080 FHD ,Intel Core i5 ,10.0,1235U ,2.4,Intel UHD Graphics ,16.0,SSD ,DOS / без ОС ,1705.2024914285716,HIPER 
Lenovo IdeaPad 5 15ITL05 82FG00FFRK,46190,15.6,1920x1080 FHD ,Intel Core i3 ,2.0,1115G4 ,3.0,Intel UHD Graphics ,8.0,SSD ,no OS (без операционной системы) ,1660.0,Lenovo 
Lenovo V15 G3 IAP 82TT001HRU,45080,15.6,1920x1080 FHD ,Intel Core i5 ,4.0,1135G7 ,2.4,Intel Iris Xe Graphics ,8.0,SSD ,DOS / без ОС ,1705.2024914285716,Lenovo 
ASUS ROG Strix G15 G513RW-HQ198 90NR0895-M00AA0,167507,15.6,1920x1080 FHD ,AMD Ryzen 9 ,8.0,6900HX ,2.4,NVIDIA GeForce RTX 3070 Ti ,16.0,SSD ,DOS / без ОС ,2000.0,ASUS 
Apple Apple MacBook Pro MK1H3B/A,359000,13.0,2560х1600 ,Apple M1 Max ,8.0,1135G7 ,2.4,Intel Iris Xe Graphics ,8.0,SSD ,MAC OS ,2170.0,Apple 
Lenovo ThinkPad T14 G3 21AH007VPB,176673,14.0,1920х1200 ,Intel Core i5 ,12.0,1240P ,3.3,Intel Iris Xe Graphics ,16.0,SSD ,Windows 11 Pro ,1500.0,Lenovo 
Lenovo ThinkPad X1 Carbon G10 21CCS9Q301,288890,14.0,1920х1200 ,Intel Core i7 ,4.0,1265U ,1.3,Intel Iris Xe Graphics ,32.0,SSD ,Windows 11 Pro ,1705.2024914285716,Lenovo 
ASUS Vivobook Pro 16X M1603QA-MB253 90NB0Y82-M00FN0,66256,16.0,1920х1200 ,AMD Ryzen 7 ,8.0,5800H ,3.2,AMD Radeon Graphics ,16.0,SSD ,no OS (без операционной системы) ,1880.0,ASUS 
Lenovo  Lenovo Yoga 7 16IAP7 82QG001FRK,117492,16.0,2560х1600 ,Intel Core i5 ,12.0,1240P ,1.7,Intel Iris Xe Graphics ,8.0,SSD ,Windows 11 Home ,1980.0,Lenovo 
